content,score,sentiment
ini aplikasi apakah tidak bisa disederhanakan lagi ya terlalu banyak pindah pindah menu dan tidak praktis sama sekali sangat berbeda dengan aplikasi bank yg lain,1,0
kak verifikasi eror  kenapa,5,2
bca mobile perangkat kerja bca yg mutakhir cpt  bersaimg,5,2
ok,5,2
sudah dowload ulang  aplikasi tidak muncul di layar hpharus buka playstore ulang terus,1,0
sangat bagus,5,2
keren sangat mudah digunakan jarang ada masalah cuma ada yg ga keren  saldo sedikit otomatis ga dapat ikut undianyg saldonya banyak peluangya sangat besar keberuntungan difihak org kaya  sekali yg beruntung itu yg ga punya saldo banyakitu beruntungini disetting beruntung bagi org yg berduit  inbox bagian transfer kalau memungkinkan penghapusanya jagan dibatasi trimakaaih  tetap maju bca tetap beruntung org kaya ,4,2
sangat membantu sekali,5,2
sangat membantu transaksi,5,2
the best full,5,2
pendang pending gjls,1,0
menu atur limit transfernya masih ada celah untuk dibobol transfer ke virtual account tidak ada menu pengaturan limitnya,4,2
aplikasi jelek mau aktifkan kembali mbanking sdh kirim no atm beberapa kali sampai pulsa habis tapi ttp gk bisa malah kembali terus,1,0
terbaik untuk di gunakan jadi lebih mudah buat apa saja,5,2
ganti hp dan install baru tidak bisa masuk di alihkan telpon ke halo bca pulsa habis banyak tidak ada respon makin parah,1,0
kenapa saya mau daftar transfer antar bank tidak bisa,3,1
biaya admin jadi rb ,1,0
baik skli,5,2
apa tidak bisa membuat fitur notifikasi uang masuk bisa dihapus,4,2
cukup memudahkan,5,2
mantp,5,2
sudah di tangani terimakasih mungkin saran untuk menambah sandi biometrik seperti sidik jari agar lebih aman,5,2
sangat berguna,5,2
parah bgt ini aplikasiselalu tdkbs d buka sampai yg keyboard bca sama d hp sampai ada pemberitahuan kl aplikasi ny mencurigakanhrs d hapus,1,0
baguss,5,2
parah skrg tf ke blu ada biaya adminnya pdahal dulu gk pke admin makin miskin ya kalian bca dipercaya byk masyarakat malah mempersulit ekonomi masyarakat sangat mengecewakan ,1,0
mantap,5,2
sangat membnatu sekali dalam urusan keuangan dengan aplikasi bca mobil ini,5,2
bca paling top,5,2
selalu akun saya keluar,1,0
aplikasi anjeng ngabisin pulsa doang daftar ulang binatang,1,0
ko aplikasinya terditeksi virus ya dan ada pemberi tahuan aplikasi tidak sah,2,0
aktivasi bca udah memakan pulsa rb rupiah gak mau aktif  malah proses terus  habis pulsa gua cok  tiap malem error terus kacau ah,1,0
saya suka pake bcakarna semua trasferan lancar dan gampang,5,2
sangat membantu dan cepat,5,2
apk sangat mantap dan membantu,5,2
parahh udah x saldo gw ngilang mulu anj,1,0
payah sekarang mahh makin gak jelas,1,0
bank paling mantaap pelayanan nya sangat baik mbanking nya lebih mudah,5,2
gabisa verifikasi wajah verivikasi wajah gagal trus setelah update,5,2
minta otp untuk aktifin m bca ga di kirimin otp nya udah coba sampai hari kedua masih aja belum di kasih kecewa dahh,1,0
semau transaksi dan aplikasi sangat nyaman dan lancar,5,2
sangat baik dan mudah di gunakan,5,2
mending dibikin simpel aja kalo mau login gausah ini itu tinggal masukin data aja ribet banget kalo baru ganti hp baru mesti regist lagi harus bayar sms segala lah ribet moga bisa dipermudah seperti namanya mobile,1,0
tdk bisa dibuka,3,1
stelah d update kok malah ga bisa buat trf rek beda bank keterangan selalu saja no rek salah pdhl rek sdh benar sdh prna trf k rek tsb jg  tp kok malah susah buat trf beda bank,4,2
habis reset hp mau login tapi tidak bisa dari nomor kartu sudah benar pulsa ada sinyal data  tapi untuk metode verifikasi selalu dialihkan ke halo bca dan itu sangat membuang uang berupa pulsa sudah dicoba beberapa kali sampai habis pulsa k tetap tidak bisa login,1,0
kenapa kalo pake wifi lampu indikator biru terus tidak mau ganti ke hijau,4,2
reward nd gift to customer or clinton and consumen,5,2
good is the best,5,2
minta verifikasi masuk kembali susah amat bener² budeg ini operator mbca,1,0
ok,5,2
sebenernya potongan bca sebulan berapa kali,3,1
pelayanan nya sangat memuaskan,5,2
flazz ga masuk saldo udah kepotong,1,0
mantabb,5,2
good,5,2
ok,5,2
sangat berguna,5,2
 ga bisa ceklis pernyataan,3,1
for some reason i cant use the app after switching from my old device to this new one even though there wasnt any problem with the transfer,2,0
baik,5,2
aplikasi paling ribet bikin susah nasabahmau login aja susah bangetpulsa habis login gk bisa,1,0
bcamobile,5,2
tidak bisa verifikasi pesan selama  haripadahal pulsa banyak,1,0
good,5,2
aplikasi lola,1,0
pembukaan gacha tiba eror dengan keterangan terjadi kesalahan tapi setelah di coba lagi malah jatah gacha tetap berkurang eman deh fakk ,1,0
saat buka mbanking cek saldo keluar kata silahkan registrasi ulang di atm sudah melakukan registrasi ulang di atm selalu gak bisa datang di bank nunggu hampir satu jam belum di tanganipadahal keadaan sepi gak ada konfirmasi apa²,2,0
sudah hari  des  dan ini hari ke tiga hari ini saya tidak bisa login ke mbca saya dan sering force close saya pastikan jaringan saya stabil dengan menonton video youtube apakah ada yang mengalami hal yang sama,3,1
memudahkan sy bertansaksi dlm pembayaran,5,2
cukup baik,5,2
aman tepat dan cepat,5,2
apa sih ini orang saldo masii k biaya admin k lha kok kepotong lagi k buat biaya admin bukannya harus nya kalo saldo nya  baru ntar kepotong lagi makin lama makin gajelas juga pernah nih saldo saya hilang di bulan juli tahun lalu sekitar k yhh bukan karna apa atau bukan seberapa juga nominalnya yang bikin jengkel tuh pas lihat di mutasi ngga ada nih admin sebenernya kerja ngapain sih diem korup kah,1,0
tutup akun bca,1,0
halo minn kan saya pengen narik uang tapi tidak make kartu nah kan ada opsi nomor hp tuhh dh saya masukin minn sama kode  dijit minn eh kaga ada lama ada bacan transaksi dibatalkan dan kadaluwarsa gth minn kirakenapa yahh min sama lagi min apakah saldonya masih tetapp disitu min,3,1
udah kirim verif malah tetep load lama banget dan gak masuk masuk kondisi pulsa masih banyak lagian ganti  kartu kenapa harus verif ulang,1,0
ganti hp karena hp mati pas instal ulang harus verifikasi wajah dgn foto selfi tapi sudah di coba berkalikali tidak pernah berhasil akhirnya ke kantor cabang untuk aktifkan m bca,3,1
sangat baik,5,2
bagus,5,2
baik,5,2
ok,5,2
halo minsaya mau lapor atas kejadian yang baru menimpa sayatadi siang sekitar pukul  saya tarik uang  ribu yang sudah sobek sobek bahkan tidak lengkapmohon di bantu ya min,1,0
sangat bagus,5,2
sangat mempermudah akses pembiayaan dan pembayaran apapun,5,2
mau coba daftar tapi dapet sms nomor nya dah terdaftar bagaimana cara dah terdaftar dan sejak kapan saya punya nomor di bca orang baru mau bikin aneh nih gimana toh,1,0
sangat membantu,5,2
sinyalnya jelek,1,0
tak kasih bintang  tolong dikasih menu intip saldo biar setiap ingin lihat saldo tidak usah login kelamaan,4,2
good bca baik,5,2
good,5,2
mntap,5,2
pakai mbanking sdh  tahun tiba verifikasi wajah dan begitu dungu nya aplikasi mbca ini verifikasi wajah harus menghadap customer service bukan on the fly lewat aplikasi sekelas bca develop aplikasi kok se dungu ini saya telp halo bca i swear itu cs respon nya bapak harus datang ke bank untul verifikasi wajah bukan video call jadi mana yang benar bca double standard gimana yg hidup jauh dari bank bca spt di pedalaman pakai mbanking disuruh km ke bank bca hanya untuk melakukan ini,1,0
aplikasi gak guna ribet banget cs nya juga gak ramah,1,0
nice,5,2
saya kasih bintang  tapi tolong di bantu bca mobile saya tidak dapat di buka setelah saya melepas sim card,5,2
terima kasih atas bantuannya,5,2
mohon di infokan jam valid untuk maintenance transfer beda bank  karena saya buka di google sampai jam  ini sudah jam  thanks ,5,2
bagus sangat terbantu untuk bertransaksi,5,2
gara gara malam sabtu eror ga bisa dipake jadi mau bayar cicilan telat dan kena denda bikin kecewasekarang gak bisa dipake buat bayarharus menggunakan yg biayanya besar gak bisa menggunakan yg biayanya kecil,1,0
aplikasi buruk di qris sudah transfer tapi tidak masuk ke tujuan tetapi saldo terpotong,1,0
kenapa tiba nomer m banking saya diblokir,2,0
ini kenapa ya saldo saya kepotong mulu tiap ada transferan pasti kepotong ,1,0
baik,5,2
semoga hari ini tdk eror saya udah  kali login blm bisa masuk,5,2
i updated this app but al if sudden it says this app infected virus whats happening can explain to me how to solve as i am staying in china if i uninstall the app it will be very difficult for me to verify face pls advice,1,0
mudah dan cepat,5,2
aku kasih bintang  karena untuk narik uang sangat lancar terima kasih bca,5,2
maaf min kok saya mau masuk otpnya tidak ada yaa,1,0
bagusdan setuju,5,2
informasi cs nya pelayanan nya kurang memuaskan,3,1
selalu error kalo mau tf gak bisa klik jumlah uang,3,1
saya melakukan pembelian pulsa saldo sudah terpotongtetapi pulsa tidak masuk,3,1
bye bca  blu awalnya udah nyaman banget sama enviroment mereka tapi makin kesini makin ga ngotak peraturannya udah kelar bakar duit mungkin ya sejak bca  blu ada biaya admin langsung narik semua tabungan ke bank lain karena ga nyaman lagi,1,0
bca sangat bagus dan memuaskan,5,2
bikin kesel aplikasi ini secara tiba tiba close terus,1,0
gannguan di waktu jam tengah malam sekitar pukul  sampai jam ,1,0
bca lagi kenapa ini saya tf dari dana ke bca belum masuk ke akun bca saya tf berhasil dari dana ke bca tapi belum masuk saldonya ke akun bca nya,1,0
perbaikan di jam  wib malah nyusahin orang mau isi token listrik,2,0
baik,5,2
kenapa selalu erorr klo mau ngecek saldo padahal lampu indikator hijau dan gk bisa di cek saldonya jaringan ku bagus emng babii kwontoll aplikasi inikenapa tgl  januari  apk bca mobile tidak bisa di akses saya mau transaksi penting ini malah ada pemeliharaan system babii emng apk bca taiik babii,1,0
malem weekend malah maintenance tolol,1,0
selalu pemiliharaan sintem ganggu orang ops aja kacau,1,0
gangguan terus lagi urgent malah gangguan heran,3,1
masih berapa lama lagi peningkatan pelayanan untuk beli tiket kai sudah bermingguminggu dari desember  ditunggu sampai sekarang masih belum bisa ed ok layanan beli tiket dihentikan per  desember ,4,2
gila kali buat aktivasi mbanking aja ribet,1,0
mantap lancaar,5,2
ok punyasudah pakaj lebih dari  tahunamanpraktissemuanya baik sajasampai saat ini,5,2
update dan upgrade ke mybca biar gak banyak aplikasi,3,1
setelah di update kok transfer ke blu bca ada admin nya  padahal sesama mitra bca nya lo  ayolah kembali kan seperti dulu,2,0
ini kenapa aplilasinya koq dibuka tampulannya bca mobile terus berhenti lalu ada piliha buka lagi aplikadi atau tutup aplikasi,5,2
bagus,5,2
bank bca memberikan app bca mobile hnya saja yg terbaru ini butuh verifikasi ktp sama wajah dan proses nya selalu gagal padahal sedah sesuai ini sangat tidak nyaman menandakan pembaruan pihak bca gagal app gagal jangan ditetapkanlah kegagalan sampai masuk youtube dan harus hubungi halo bca lgi kalo dibutuh kan malm hari transaksi jadi terganggu,5,2
bagus dan mudah transaksinycm ko blm  bulan udh kpotong k apakah ada pemeliharaan rekening,5,2
ini ada tips dari teman saya tolong dibaca yah bagi kalian yang merasa gagal verifikasi sampai pulsa habis setelah ganti nomor saya sarankan untuk hapus data aplikasi bca mobilenya baru dicoba lagi teman saya berhasil coba pakai cara ini dan bisa login kembali rekening bca mobilenya jika masih gagal karena masalah koneksi coba gunakan sim card  untuk akses internetnya jika gagal kirim otp coba cari lokasi yang jaringannya mudah menerima sms,5,2
belum bisa mendaftar,4,2
apk cacad dalam sistem otp ga masuk aplikasi sering force close udah kalah sama bank lain,1,0
mantul,5,2
sebenarnya biaya adm brapa sh emg kok ini potongannya lebih dari rb,1,0
qris error tdk bs dibuka,1,0
cukup baik,5,2
masa transfer ke blu yg merupakan bank digital nya sendiri harus kena biaya apakah sudah kehilangan akal cari pemasukan mudah mudahan ada update lagi,1,0
kok gak bisa aktivasi sih,1,0
,5,2
registrasi bca mobile cara online,5,2
tiba aplikasi hilang pas di cak di play store harus di perbaharui udah di perbaharui aplikasinya gak terpasang juga di hp itu kenapa,3,1
good,5,2
knp skrg potongan nya bnyak bgtt,1,0
pelayanan cepat tanggap terhadap pengaduan,5,2
,5,2
gim,5,2
baru nyadar biaya bulanan admin nya besar di banding bank laindi potong otomatis kadang tgl  kadang tgl  ya terasa juga uang hbs oleh biaya bulananapa lg klo nabung untuk simpananhbs oleh adm bulanan aj x setahun uda berapa,4,2
aku kasih bintang  dulu soalnya aku pakai apk ini kecewa bisa data saya dicuri dan uang saya hilang mohon perbaikannya,3,1
biaya admin nya rb lumayan juga,1,0
gak bisa di akses pakai wifi semenjak update,1,0
bank terjelek menurut saya saldo berkurang sendiri apa gak tau ya kalau kita butuh meskipun  perak pun berkurang nya k lagi,1,0
udah mulai ngga nyaman pakai bca keserinan foreclose,2,0
tolong lah uang saya kalo ada di sini ilang terus ribu,1,0
buka aplikasi y klw bisa fingerprint juga,5,2
mantaff,5,2
kenapaya kok tambah parah bca saldo saya sedot banyak sekali padahal setiap transaksi kan sudah kepotong mau ganti bank lain yang pelayanannya enak,1,0
semoga bermanfaat,5,2
jangan pakai bca saya setiap transfer ke bca selalu uangnya berkurang padahal saya tidak punya kredit aktif,1,0
tolong dong kalau ada potongan admin setiap bulan muncul di notifikasi biar tau saldo kepotong buat apaini notifikasi kosong gk ada apa² tp saldo berkurang sampai k kalau ada notifikasi kan kita tau gk tiba² kepotong gitu aja,5,2
sangat sangat penting,5,2
disuruh update malah verif ulang dulu pas ke nomer  masi bisa setelah update verifnya ke nomer gajelas ket null tidak dapat membalas kode singkat ini lah trus gimana verifikasinya _,1,0
kenapa keyboard bca sekarang gak bagus lagiabis ketik emoji langsung tutup aplikasi nyajadi kurang nyaman skarang pakek keyboard bca nyatolong di perbaiki lagitrimakasih,3,1
halo bca dari segi keamananpelayanan semua nya sudah bagus banget apakah tidak ada cita membuat inovasi atm setor uang koin tanpa harus datang ke bank hanya saran dan masukan buat bca terima kasih bca,5,2
selama ini tidak pernah ada kendala pertahankan terus stabilitas system nya,5,2
tolong ini ada apa sama bca setelah di update selalu aja masalah di aplikasinya skrg malah sim card tidak terdeteksi tolong dong management bca ini diperbaiki,1,0
jos,5,2
gak bisa hapus inbox sekaligussangat di sayangkanrepot sekaliribet,1,0
mau tanya potongan adminnya setia bulan brp sih kok selalunya dipotong lebih dari  rb,4,2
good banget,5,2
good job,5,2
kecewa bnget uda di donlod yg terbaru malah gak bs,2,0
bca mobile sangat ribet dan tidak bersahabat dengan lampu indikator merah nya,1,0
berguna sekali,5,2
kenapa nih bca mobile ga bisa login menggunakan sinyal wifi,1,0
sangat bagus,5,2
opsional baik,5,2
tidak bisa di instal aplikasi,1,0
kcp rangkasbitung tidak memberikan solusi saat nasabah tidak bisa mengakses mbanking dengan rekening barunya,1,0
very good,5,2
tingkatan terus pelayanan pada nasabah mantaap,5,2
pengunaannya tidak susah dan sangat membantu sekaliterimakasih bca,5,2
